elife-107069-v1,elife-107069 
elife-107093-v1,elife-107093 
elife-107114-v1,elife-107114 
elife-107121-v1,elife-107121 
elife-107148-v1,elife-107148 
elife-107157-v1,elife-107157 
elife-107298-v1,elife-107298 
elife-107352-v1,elife-107352 
elife-107419-v1,elife-107419 
elife-107451-v1,elife-107451 
elife-107454-v1,elife-107454 
elife-107470-v1,elife-107470 
elife-107494-v1,elife-107494 
elife-107524-v1,elife-107524 
elife-107534-v1,elife-107534 
elife-107566-v1,elife-107566 
elife-107598-v1,elife-107598 
elife-107742-v1,elife-107742 
elife-107938-v1,elife-107938 
elife-108061-v1,elife-108061 
elife-108292-v1,elife-108292 
elife-84141-v1,elife-84141 
elife-84338-v1,elife-84338 
elife-84355-v1,elife-84355 
elife-84364-v1,elife-84364 
elife-84385-v1,elife-84385 
elife-84427-v1,elife-84427 
elife-84537-v1,elife-84537 
elife-84553-v1,elife-84553 
elife-84570-v1,elife-84570 
elife-84604-v1,elife-84604 
elife-84628-v1,elife-84628 
elife-84630-v1,elife-84630 
elife-84747-v1,elife-84747 
elife-84792-v1,elife-84792 
elife-84831-v1,elife-84831 
elife-84855-v1,elife-84855 
elife-84874-v1,elife-84874 
elife-84875-v1,elife-84875 
elife-84918-v1,elife-84918 
elife-84926-v1,elife-84926 
elife-85069-v1,elife-85069 
elife-85111-v1,elife-85111 
elife-85380-v1,elife-85380 
elife-85562-v1,elife-85562 
elife-85596-v1,elife-85596 
elife-85597-v1,elife-85597 
elife-85646-v1,elife-85646 
elife-85654-v1,elife-85654 
elife-85760-v1,elife-85760 
elife-85786-v1,elife-85786 
elife-85795-v1,elife-85795 
elife-85875-v1,elife-85875 
elife-85921-v1,elife-85921 
elife-86016-v1,elife-86016 
elife-86100-v1,elife-86100 
elife-86169-v1,elife-86169 
elife-86194-v1,elife-86194 
elife-86324-v1,elife-86324 
elife-86464-v1,elife-86464 
elife-86507-v1,elife-86507 
elife-86576-v1,elife-86576 
elife-86577-v1,elife-86577 
elife-86591-v1,elife-86591 
elife-86617-v1,elife-86617 
elife-86628-v1,elife-86628 
elife-86633-v1,elife-86633 
elife-86635-v1,elife-86635 
elife-86636-v1,elife-86636 
elife-86638-v1,elife-86638 
elife-86655-v1,elife-86655 
elife-86663-v1,elife-86663 
elife-86669-v1,elife-86669 
elife-86670-v1,elife-86670 
elife-86678-v1,elife-86678 
elife-86687-v1,elife-86687 
elife-86689-v1,elife-86689 
elife-86695-v1,elife-86695 
elife-86699-v1,elife-86699 
elife-86700-v1,elife-86700 
elife-86721-v1,elife-86721 
elife-86722-v1,elife-86722 
elife-86725-v1,elife-86725 
elife-86727-v1,elife-86727 
elife-86737-v1,elife-86737 
elife-86740-v1,elife-86740 
elife-86749-v1,elife-86749 
elife-86764-v1,elife-86764 
elife-86776-v1,elife-86776 
elife-86784-v1,elife-86784 
elife-86797-v1,elife-86797 
elife-86805-v1,elife-86805 
elife-86812-v1,elife-86812 
elife-86823-v1,elife-86823 
elife-86824-v1,elife-86824 
elife-86827-v1,elife-86827 
elife-86833-v1,elife-86833 
elife-86837-v1,elife-86837 
elife-86843-v1,elife-86843 
elife-86845-v1,elife-86845 
elife-86847-v1,elife-86847 
elife-86852-v1,elife-86852 
elife-86873-v1,elife-86873 
elife-86892-v1,elife-86892 
elife-86899-v1,elife-86899 
elife-86903-v1,elife-86903 
elife-86913-v1,elife-86913 
elife-86920-v1,elife-86920 
elife-86931-v1,elife-86931 
elife-86933-v1,elife-86933 
elife-86939-v1,elife-86939 
elife-86940-v1,elife-86940 
elife-86943-v1,elife-86943 
elife-86944-v1,elife-86944 
elife-86961-v1,elife-86961 
elife-86972-v1,elife-86972 
elife-86975-v1,elife-86975 
elife-86976-v1,elife-86976 
elife-86978-v1,elife-86978 
elife-86988-v1,elife-86988 
elife-86990-v1,elife-86990 
elife-87008-v1,elife-87008 
elife-87016-v1,elife-87016 
elife-87018-v1,elife-87018 
elife-87022-v1,elife-87022 
elife-87026-v1,elife-87026 
elife-87029-v1,elife-87029 
elife-87030-v1,elife-87030 
elife-87037-v1,elife-87037 
elife-87038-v1,elife-87038 
elife-87039-v1,elife-87039 
elife-87048-v1,elife-87048 
elife-87055-v1,elife-87055 
elife-87065-v1,elife-87065 
elife-87078-v1,elife-87078 
elife-87081-v1,elife-87081 
elife-87083-v1,elife-87083 
elife-87092-v1,elife-87092 
elife-87094-v1,elife-87094 
elife-87099-v1,elife-87099 
elife-87115-v1,elife-87115 
elife-87120-v1,elife-87120 
elife-87126-v1,elife-87126 
elife-87133-v1,elife-87133 
elife-87135-v1,elife-87135 
elife-87146-v1,elife-87146 
elife-87147-v1,elife-87147 
elife-87151-v1,elife-87151 
elife-87167-v1,elife-87167 
elife-87174-v1,elife-87174 
elife-87178-v1,elife-87178 
elife-87188-v1,elife-87188 
elife-87192-v1,elife-87192 
elife-87193-v1,elife-87193 
elife-87196-v1,elife-87196 
elife-87197-v1,elife-87197 
elife-87198-v1,elife-87198 
elife-87202-v1,elife-87202 
elife-87238-v1,elife-87238 
elife-87253-v1,elife-87253 
elife-87258-v1,elife-87258 
elife-87271-v1,elife-87271 
elife-87281-v1,elife-87281 
elife-87283-v1,elife-87283 
elife-87288-v1,elife-87288 
elife-87292-v1,elife-87292 
elife-87297-v1,elife-87297 
elife-87301-v1,elife-87301 
elife-87303-v1,elife-87303 
elife-87306-v1,elife-87306 
elife-87316-v1,elife-87316 
elife-87317-v1,elife-87317 
elife-87318-v1,elife-87318 
elife-87330-v1,elife-87330 
elife-87335-v1,elife-87335 
elife-87340-v1,elife-87340 
elife-87346-v1,elife-87346 
elife-87356-v1,elife-87356 
elife-87357-v1,elife-87357 
elife-87361-v1,elife-87361 
elife-87369-v1,elife-87369 
elife-87380-v1,elife-87380 
elife-87386-v1,elife-87386 
elife-87406-v1,elife-87406 
elife-87414-v1,elife-87414 
elife-87419-v1,elife-87419 
elife-87430-v1,elife-87430 
elife-87431-v1,elife-87431 
elife-87434-v1,elife-87434 
elife-87442-v1,elife-87442 
elife-87445-v1,elife-87445 
elife-87450-v1,elife-87450 
elife-87455-v1,elife-87455 
elife-87458-v1,elife-87458 
elife-87468-v1,elife-87468 
elife-87496-v1,elife-87496 
elife-87501-v1,elife-87501 
elife-87510-v1,elife-87510 
elife-87515-v1,elife-87515 
elife-87517-v1,elife-87517 
elife-87518-v1,elife-87518 
elife-87521-v1,elife-87521 
elife-87522-v1,elife-87522 
elife-87523-v1,elife-87523 
elife-87527-v1,elife-87527 
elife-87529-v1,elife-87529 
elife-87536-v1,elife-87536 
elife-87555-v1,elife-87555 
elife-87559-v1,elife-87559 
elife-87561-v1,elife-87561 
elife-87569-v1,elife-87569 
elife-87572-v1,elife-87572 
elife-87586-v1,elife-87586 
elife-87592-v1,elife-87592 
elife-87602-v1,elife-87602 
elife-87607-v1,elife-87607 
elife-87611-v1,elife-87611 
elife-87616-v1,elife-87616 
elife-87634-v1,elife-87634 
elife-87644-v1,elife-87644 
elife-87651-v1,elife-87651 
elife-87668-v1,elife-87668 
elife-87672-v1,elife-87672 
elife-87674-v1,elife-87674 
elife-87691-v1,elife-87691 
elife-87696-v1,elife-87696 
elife-87698-v1,elife-87698 
elife-87714-v1,elife-87714 
elife-87719-v1,elife-87719 
elife-87720-v1,elife-87720 
elife-87722-v1,elife-87722 
elife-87726-v1,elife-87726 
elife-87729-v1,elife-87729 
elife-87730-v1,elife-87730 
elife-87736-v1,elife-87736 
elife-87739-v1,elife-87739 
elife-87742-v1,elife-87742 
elife-87746-v1,elife-87746 
elife-87747-v1,elife-87747 
elife-87749-v1,elife-87749 
elife-87751-v1,elife-87751 
elife-87753-v1,elife-87753 
elife-87754-v1,elife-87754 
elife-87756-v1,elife-87756 
elife-87775-v1,elife-87775 
elife-87780-v1,elife-87780 
elife-87811-v1,elife-87811 
elife-87820-v1,elife-87820 
elife-87833-v1,elife-87833 
elife-87860-v1,elife-87860 
elife-87863-v1,elife-87863 
elife-87866-v1,elife-87866 
elife-87868-v1,elife-87868 
elife-87873-v1,elife-87873 
elife-87880-v1,elife-87880 
elife-87881-v1,elife-87881 
elife-87884-v1,elife-87884 
elife-87894-v1,elife-87894 
elife-87895-v1,elife-87895 
elife-87900-v1,elife-87900 
elife-87912-v1,elife-87912 
